"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"60","2","0","163.44","(2,0)","2","0","155.79","(2,0)"
"61","1","1","146.99","(1,1)","1","2","137.45","(1,2)"
"62","2","0","169.11","(2,0)","2","0","161.46","(2,0)"
"63","1","2","160.5","(1,2)","1","2","150.94","(1,2)"
"64","1","0","151.63","(1,0)","1","1","144.16","(1,1)"
"65","1","0","131.93","(1,0)","1","0","126.19","(1,0)"
"66","2","2","139.5","(2,2)","2","2","128.03","(2,2)"
"67","2","0","170.08","(2,0)","2","0","162.43","(2,0)"
"68","1","0","153.12","(1,0)","1","0","147.38","(1,0)"
"69","0","2","155.19","(0,2)","2","2","145.43","(2,2)"
"70","1","1","168.38","(1,1)","1","1","160.73","(1,1)"
"71","1","0","142.91","(1,0)","1","0","137.18","(1,0)"
"72","1","0","158.11","(1,0)","1","1","151.31","(1,1)"
"73","1","0","141.58","(1,0)","1","0","135.84","(1,0)"
"74","2","0","166","(2,0)","2","2","155.66","(2,2)"
"75","2","2","144.24","(2,2)","2","2","132.76","(2,2)"
"76","1","1","140.67","(1,1)","1","1","133.02","(1,1)"
"77","1","0","150.81","(1,0)","1","0","145.08","(1,0)"
"78","2","0","141.47","(2,0)","2","2","132.61","(2,2)"
"79","0","0","160","(0,0)","2","2","149.55","(2,2)"
"80","2","0","157.46","(2,0)","2","0","149.81","(2,0)"
"81","1","1","160.03","(1,1)","1","1","152.38","(1,1)"
"82","0","0","165.08","(0,0)","1","1","158.72","(1,1)"
"83","2","0","165.37","(2,0)","2","0","157.72","(2,0)"
"84","2","0","118.03","(2,0)","2","0","110.38","(2,0)"
"85","2","0","153.75","(2,0)","2","0","146.11","(2,0)"
"86","0","0","137.14","(0,0)","1","2","129.4","(1,2)"
"87","0","0","140.21","(0,0)","0","0","136.39","(0,0)"
"88","2","0","163.18","(2,0)","2","0","155.53","(2,0)"
"89","2","0","149.25","(2,0)","2","2","138.89","(2,2)"
"90","2","0","171.66","(2,0)","1","2","163.36","(1,2)"
"91","1","1","155.9","(1,1)","1","1","148.25","(1,1)"
"92","1","0","153.88","(1,0)","1","1","147.43","(1,1)"
"93","2","0","157.02","(2,0)","2","2","146.12","(2,2)"
"94","2","0","151.67","(2,0)","2","0","144.02","(2,0)"
"95","1","0","179.42","(1,0)","2","2","172.41","(2,2)"
"96","0","2","145.1","(0,2)","0","2","137.45","(0,2)"
"97","2","0","164.35","(2,0)","2","0","156.7","(2,0)"
"98","1","0","152.42","(1,0)","1","0","146.69","(1,0)"
"99","0","0","148.49","(0,0)","0","0","144.66","(0,0)"
"100","1","0","136.5","(1,0)","1","0","130.76","(1,0)"
"101","2","0","149.12","(2,0)","1","2","140.42","(1,2)"
"102","1","1","145.69","(1,1)","1","1","138.04","(1,1)"
