"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"162","1","1","160.27","(1,1)","2","2","153.48","(2,2)"
"163","1","1","155.64","(1,1)","1","1","149.97","(1,1)"
"164","2","0","127.5","(2,0)","2","0","121.82","(2,0)"
"165","1","1","148.78","(1,1)","1","1","143.1","(1,1)"
"166","2","0","158.84","(2,0)","2","0","153.16","(2,0)"
"167","1","1","144.02","(1,1)","1","1","138.34","(1,1)"
"168","2","0","147.26","(2,0)","2","0","141.58","(2,0)"
"169","2","0","155.93","(2,0)","2","0","150.25","(2,0)"
"170","1","1","151.61","(1,1)","1","1","145.93","(1,1)"
"171","1","1","141.77","(1,1)","1","1","136.1","(1,1)"
"172","2","0","167.25","(2,0)","2","0","161.57","(2,0)"
"173","2","0","125.36","(2,0)","1","2","119.14","(1,2)"
"174","0","2","150.1","(0,2)","0","2","144.43","(0,2)"
"175","1","1","147.22","(1,1)","1","1","141.55","(1,1)"
"176","1","0","157.07","(1,0)","1","2","151.59","(1,2)"
"177","0","0","140.96","(0,0)","1","2","138.15","(1,2)"
"178","1","2","131.47","(1,2)","1","2","123.9","(1,2)"
"179","1","1","145.48","(1,1)","2","2","138.14","(2,2)"
"180","1","0","129.47","(1,0)","1","0","125.69","(1,0)"
"181","0","2","157.62","(0,2)","0","2","151.95","(0,2)"
"182","1","1","167.4","(1,1)","1","1","161.73","(1,1)"
"183","1","1","144.8","(1,1)","1","1","139.12","(1,1)"
"184","1","0","141.98","(1,0)","1","0","138.19","(1,0)"
"185","1","1","152.19","(1,1)","1","2","145.47","(1,2)"
"186","2","0","158.43","(2,0)","2","0","152.76","(2,0)"
"187","1","0","138.18","(1,0)","1","0","134.4","(1,0)"
"188","1","2","153.15","(1,2)","1","2","145.59","(1,2)"
"189","1","0","152.88","(1,0)","1","0","149.1","(1,0)"
"190","1","0","153.13","(1,0)","2","0","148.98","(2,0)"
"191","2","0","127.51","(2,0)","2","0","121.83","(2,0)"
"192","1","1","149.16","(1,1)","1","1","143.48","(1,1)"
"193","1","0","157.61","(1,0)","1","0","153.82","(1,0)"
"194","2","0","156.89","(2,0)","2","0","151.21","(2,0)"
"195","2","0","152.6","(2,0)","2","0","146.93","(2,0)"
"196","1","1","165.05","(1,1)","1","2","158.54","(1,2)"
"197","1","1","150.58","(1,1)","1","1","144.9","(1,1)"
"198","1","0","134.7","(1,0)","1","1","130.12","(1,1)"
"199","1","0","156.05","(1,0)","1","1","150.73","(1,1)"
"200","2","0","151.38","(2,0)","2","0","145.71","(2,0)"
"201","2","2","147.54","(2,2)","2","2","138.08","(2,2)"
"202","1","1","142.62","(1,1)","1","1","136.94","(1,1)"
"203","1","1","129.92","(1,1)","1","1","124.24","(1,1)"
"204","1","2","128.66","(1,2)","1","2","121.09","(1,2)"
"205","1","1","150.02","(1,1)","1","1","144.34","(1,1)"
"206","0","2","158.63","(0,2)","0","2","152.96","(0,2)"
"207","2","0","148.23","(2,0)","2","0","142.56","(2,0)"
"208","1","1","126.07","(1,1)","1","1","120.4","(1,1)"
"209","2","0","144.33","(2,0)","1","2","138.36","(1,2)"
"210","2","0","147.87","(2,0)","2","0","142.19","(2,0)"
"211","1","1","138.72","(1,1)","1","1","133.05","(1,1)"
"212","2","0","152.15","(2,0)","2","0","146.48","(2,0)"
"213","1","0","145.85","(1,0)","2","0","141.99","(2,0)"
"214","1","1","132.21","(1,1)","1","1","126.54","(1,1)"
"215","1","1","132.19","(1,1)","1","1","126.51","(1,1)"
