"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"413","1","2","156.67","(1,2)","1","2","147.11","(1,2)"
"414","2","0","149.23","(2,0)","2","0","141.58","(2,0)"
"415","2","0","151.58","(2,0)","2","2","141.43","(2,2)"
"416","2","0","164.82","(2,0)","2","0","157.17","(2,0)"
"417","2","2","148.61","(2,2)","2","2","137.13","(2,2)"
"418","2","0","146.23","(2,0)","2","0","138.58","(2,0)"
"419","2","0","125.9","(2,0)","2","1","117.03","(2,1)"
"420","2","0","156.55","(2,0)","2","2","148.83","(2,2)"
"421","1","2","148.78","(1,2)","1","2","139.22","(1,2)"
"422","1","2","148.09","(1,2)","1","2","138.53","(1,2)"
"423","2","0","160.85","(2,0)","2","0","153.21","(2,0)"
"424","1","1","147.62","(1,1)","1","1","139.97","(1,1)"
"425","2","0","159.74","(2,0)","1","2","151.8","(1,2)"
"426","1","2","150.47","(1,2)","1","2","140.91","(1,2)"
"427","2","0","158.22","(2,0)","2","0","150.57","(2,0)"
"428","2","0","165.06","(2,0)","2","0","157.41","(2,0)"
"429","1","2","137.15","(1,2)","1","2","127.59","(1,2)"
"430","1","1","164.44","(1,1)","1","1","156.79","(1,1)"
"431","1","1","139.44","(1,1)","1","2","131.62","(1,2)"
"432","1","1","163","(1,1)","1","1","155.35","(1,1)"
"433","2","0","149.72","(2,0)","2","0","142.07","(2,0)"
"434","1","2","145.85","(1,2)","1","2","136.29","(1,2)"
"435","1","1","171.04","(1,1)","1","1","163.39","(1,1)"
"436","2","0","149.51","(2,0)","2","0","141.87","(2,0)"
"437","2","0","166.96","(2,0)","2","0","159.31","(2,0)"
"438","2","0","156.45","(2,0)","2","0","148.8","(2,0)"
"439","1","2","156.44","(1,2)","1","2","146.88","(1,2)"
"440","2","0","150.22","(2,0)","2","0","142.57","(2,0)"
"441","2","0","157.86","(2,0)","1","2","149.23","(1,2)"
"442","2","0","140.5","(2,0)","2","0","132.85","(2,0)"
"443","2","0","154.85","(2,0)","2","0","147.2","(2,0)"
"444","1","1","151.48","(1,1)","1","1","143.83","(1,1)"
"445","2","2","133.08","(2,2)","2","2","121.61","(2,2)"
"446","1","2","165.99","(1,2)","1","2","156.43","(1,2)"
"447","1","2","136.56","(1,2)","1","2","127","(1,2)"
"448","1","1","173.43","(1,1)","1","2","165.1","(1,2)"
"449","2","0","160.33","(2,0)","2","0","152.68","(2,0)"
"450","1","2","172.68","(1,2)","1","2","163.12","(1,2)"
"451","2","0","132.92","(2,0)","1","2","124.11","(1,2)"
"452","1","2","168.62","(1,2)","1","2","159.06","(1,2)"
"453","2","0","163.5","(2,0)","2","0","155.86","(2,0)"
"454","1","1","156.37","(1,1)","1","1","148.72","(1,1)"
"455","2","2","156.07","(2,2)","2","2","144.6","(2,2)"
"456","2","0","176.32","(2,0)","1","2","167.48","(1,2)"
