"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"719","2","0","599.73","(2,0)","2","1","589.36","(2,1)"
"720","2","2","610.19","(2,2)","2","2","593.73","(2,2)"
"721","1","2","592.75","(1,2)","1","2","579.58","(1,2)"
"722","2","0","612.68","(2,0)","2","2","596.65","(2,2)"
"723","2","0","609.59","(2,0)","2","2","596.51","(2,2)"
"724","2","2","611.46","(2,2)","2","2","594.99","(2,2)"
"725","2","2","603.5","(2,2)","2","2","587.03","(2,2)"
"726","1","2","609.75","(1,2)","1","2","596.58","(1,2)"
"727","2","0","593.44","(2,0)","2","2","577.56","(2,2)"
"728","1","2","571.41","(1,2)","2","2","557.05","(2,2)"
"729","2","2","605.77","(2,2)","2","2","589.31","(2,2)"
"730","1","2","584.82","(1,2)","1","2","571.65","(1,2)"
"731","2","2","556.62","(2,2)","2","2","540.15","(2,2)"
"732","2","0","595.09","(2,0)","2","1","585.14","(2,1)"
"733","1","2","593.1","(1,2)","1","2","579.92","(1,2)"
"734","2","0","576.63","(2,0)","2","0","566.75","(2,0)"
"735","2","0","603.22","(2,0)","1","2","590.8","(1,2)"
"736","1","2","569.19","(1,2)","1","2","556.01","(1,2)"
"737","2","0","593.32","(2,0)","1","2","581.84","(1,2)"
"738","2","2","589.47","(2,2)","2","2","573.01","(2,2)"
"739","1","2","617.18","(1,2)","2","2","601.98","(2,2)"
"740","1","2","604.09","(1,2)","1","2","590.92","(1,2)"
"741","2","1","577.12","(2,1)","2","1","563.95","(2,1)"
"742","2","0","584.38","(2,0)","2","2","568.75","(2,2)"
"743","1","2","591.84","(1,2)","1","2","578.66","(1,2)"
"744","1","2","553.13","(1,2)","1","2","539.96","(1,2)"
"745","2","0","577.28","(2,0)","2","0","567.4","(2,0)"
"746","2","0","598.64","(2,0)","2","2","586.84","(2,2)"
"747","2","0","604.09","(2,0)","2","1","592.83","(2,1)"
"748","2","0","595.98","(2,0)","2","2","584.92","(2,2)"
"749","1","2","562.38","(1,2)","1","2","549.2","(1,2)"
"750","2","2","580.65","(2,2)","2","2","564.18","(2,2)"
"751","1","2","609.81","(1,2)","1","2","596.64","(1,2)"
"752","2","0","581.94","(2,0)","2","0","572.06","(2,0)"
"753","2","0","589.09","(2,0)","2","1","578.07","(2,1)"
"754","2","0","587.14","(2,0)","2","2","575.88","(2,2)"
"755","2","2","592.06","(2,2)","2","2","575.6","(2,2)"
"756","1","1","563.61","(1,1)","2","1","552.99","(2,1)"
"757","2","0","583.98","(2,0)","2","1","572.36","(2,1)"
"758","2","2","599.76","(2,2)","2","2","583.29","(2,2)"
"759","2","2","577.06","(2,2)","2","2","560.59","(2,2)"
"760","2","2","592.13","(2,2)","2","2","575.66","(2,2)"
"761","1","2","558.57","(1,2)","2","2","543.01","(2,2)"
"762","2","0","578.64","(2,0)","2","2","564.17","(2,2)"
"763","2","0","618.93","(2,0)","2","2","606.97","(2,2)"
"764","1","2","606.28","(1,2)","2","2","592.86","(2,2)"
"765","2","0","586.72","(2,0)","1","2","575.26","(1,2)"
"766","1","1","605.57","(1,1)","2","1","594.17","(2,1)"
"767","1","2","594.11","(1,2)","1","2","580.94","(1,2)"
"768","2","2","558.66","(2,2)","2","2","542.19","(2,2)"
"769","2","0","602.28","(2,0)","2","0","592.4","(2,0)"
"770","1","2","565.38","(1,2)","1","2","552.2","(1,2)"
"771","1","2","553.69","(1,2)","1","2","540.51","(1,2)"
"772","2","2","551.61","(2,2)","2","2","535.14","(2,2)"
"773","2","1","598.92","(2,1)","2","1","585.75","(2,1)"
"774","1","1","589.04","(1,1)","2","2","576.47","(2,2)"
"775","2","0","566.52","(2,0)","2","0","556.64","(2,0)"
"776","2","0","617.25","(2,0)","2","1","607.35","(2,1)"
"777","2","0","553.06","(2,0)","2","0","543.18","(2,0)"
"778","1","2","583.29","(1,2)","1","2","570.11","(1,2)"
"779","2","0","594.5","(2,0)","2","1","584.25","(2,1)"
"780","2","0","559.92","(2,0)","1","2","547.96","(1,2)"
"781","1","2","543.22","(1,2)","1","2","530.04","(1,2)"
"782","2","0","593.87","(2,0)","2","2","577.79","(2,2)"
"783","2","0","571.68","(2,0)","2","0","561.8","(2,0)"
"784","1","2","594.94","(1,2)","1","2","581.76","(1,2)"
"785","1","2","572.32","(1,2)","1","2","559.15","(1,2)"
"786","2","2","569.86","(2,2)","2","2","553.39","(2,2)"
"787","2","0","570.42","(2,0)","2","2","555.14","(2,2)"
"788","2","0","588.48","(2,0)","2","1","578.36","(2,1)"
"789","1","2","590.13","(1,2)","1","2","576.96","(1,2)"
"790","2","0","580.77","(2,0)","1","2","569.02","(1,2)"
"791","2","0","553.8","(2,0)","2","2","543.11","(2,2)"
"792","2","0","554.98","(2,0)","2","2","539","(2,2)"
"793","1","2","551.5","(1,2)","1","2","538.33","(1,2)"
"794","2","0","538.54","(2,0)","2","0","528.66","(2,0)"
"795","2","1","608.01","(2,1)","2","2","592.47","(2,2)"
"796","1","2","592.77","(1,2)","1","2","579.6","(1,2)"
"797","2","2","588.08","(2,2)","2","2","571.61","(2,2)"
"798","1","2","558.52","(1,2)","1","2","545.35","(1,2)"
"799","1","2","585.46","(1,2)","1","2","572.29","(1,2)"
"800","1","2","603.07","(1,2)","1","2","589.89","(1,2)"
"801","2","2","606.02","(2,2)","2","2","589.55","(2,2)"
"802","1","2","551.86","(1,2)","1","2","538.69","(1,2)"
"803","2","2","604.18","(2,2)","2","2","587.71","(2,2)"
"804","2","0","575.52","(2,0)","2","0","565.64","(2,0)"
"805","2","0","598.61","(2,0)","2","2","587.6","(2,2)"
"806","2","0","562.11","(2,0)","2","2","547.39","(2,2)"
"807","1","2","596.85","(1,2)","1","2","583.68","(1,2)"
"808","1","1","591.74","(1,1)","1","1","581.86","(1,1)"
"809","2","0","578.39","(2,0)","2","0","568.51","(2,0)"
"810","1","2","583.62","(1,2)","1","2","570.44","(1,2)"
"811","2","2","627.36","(2,2)","2","2","610.9","(2,2)"
"812","1","2","597.96","(1,2)","1","2","584.79","(1,2)"
"813","2","0","607.87","(2,0)","2","1","595.75","(2,1)"
"814","2","1","609.03","(2,1)","2","1","595.85","(2,1)"
"815","1","2","576.55","(1,2)","1","2","563.37","(1,2)"
"816","2","1","597.14","(2,1)","2","2","582.82","(2,2)"
"817","2","2","549.83","(2,2)","2","2","533.37","(2,2)"
"818","2","0","583.9","(2,0)","2","1","573.3","(2,1)"
"819","2","0","589.75","(2,0)","2","1","579.18","(2,1)"
"820","2","1","584.37","(2,1)","2","2","568.54","(2,2)"
"821","1","2","593.44","(1,2)","1","2","580.27","(1,2)"
"822","1","2","584.97","(1,2)","1","2","571.8","(1,2)"
"823","2","0","592.89","(2,0)","2","2","579.71","(2,2)"
"824","2","0","554.12","(2,0)","1","2","543.26","(1,2)"
"825","1","2","604.82","(1,2)","1","2","591.64","(1,2)"
"826","2","0","583.8","(2,0)","2","1","572.59","(2,1)"
"827","2","0","617.08","(2,0)","2","2","602.03","(2,2)"
"828","1","1","619.71","(1,1)","1","1","609.83","(1,1)"
"829","1","2","582.45","(1,2)","1","2","569.27","(1,2)"
"830","1","2","612.84","(1,2)","1","2","599.67","(1,2)"
"831","1","2","577.51","(1,2)","1","2","564.34","(1,2)"
"832","1","2","591.31","(1,2)","1","2","578.14","(1,2)"
"833","2","0","624.43","(2,0)","2","0","614.55","(2,0)"
"834","1","2","576.35","(1,2)","1","2","563.18","(1,2)"
"835","2","0","607.91","(2,0)","2","1","597.48","(2,1)"
"836","1","1","606.81","(1,1)","2","1","596.21","(2,1)"
"837","2","2","598.79","(2,2)","2","2","582.32","(2,2)"
"838","2","0","570.38","(2,0)","2","0","560.5","(2,0)"
"839","2","1","594.21","(2,1)","2","2","578.12","(2,2)"
"840","2","0","569.76","(2,0)","2","0","559.88","(2,0)"
"841","2","0","569.38","(2,0)","2","0","559.5","(2,0)"
"842","2","0","555.48","(2,0)","2","0","545.6","(2,0)"
"843","2","2","577.44","(2,2)","2","2","560.97","(2,2)"
"844","2","0","593.31","(2,0)","2","0","583.43","(2,0)"
"845","2","2","595.82","(2,2)","2","2","579.36","(2,2)"
"846","2","0","608.32","(2,0)","2","0","598.44","(2,0)"
"847","1","2","618.77","(1,2)","1","2","605.6","(1,2)"
"848","2","0","546.38","(2,0)","2","0","536.5","(2,0)"
"849","2","0","628.59","(2,0)","2","2","614.09","(2,2)"
"850","2","2","589.31","(2,2)","2","2","572.85","(2,2)"
"851","1","2","594.37","(1,2)","1","2","581.2","(1,2)"
